x,y,B,is_init,is_unsafe
-1.5,-1.5,4.41,0,0
-1.475,-1.5,4.335625,0,0
-1.45,-1.5,4.2625,0,0
-1.425,-1.5,4.190625000000001,0,0
-1.4,-1.5,4.12,0,0
-1.375,-1.5,4.050625,0,0
-1.35,-1.5,3.9825,0,0
-1.325,-1.5,3.9156250000000004,0,0
-1.3,-1.5,3.8500000000000005,0,0
-1.275,-1.5,3.785625,0,0
-1.25,-1.5,3.7225,0,0
-1.225,-1.5,3.6606250000000005,0,0
-1.2,-1.5,3.6,0,0
-1.175,-1.5,3.5406250000000004,0,0
-1.15,-1.5,3.4825,0,0
-1.125,-1.5,3.425625,0,0
-1.1,-1.5,3.37,0,0
-1.075,-1.5,3.315625,0,0
-1.05,-1.5,3.2625,0,0
-1.025,-1.5,3.2106250000000003,0,0
-1.0,-1.5,3.16,0,0
-0.975,-1.5,3.110625,0,0
-0.95,-1.5,3.0625,0,0
-0.9249999999999999,-1.5,3.015625,0,0
-0.8999999999999999,-1.5,2.9699999999999998,0,0
-0.875,-1.5,2.925625,0,0
-0.85,-1.5,2.8825000000000003,0,0
-0.825,-1.5,2.840625,0,0
-0.7999999999999999,-1.5,2.8,0,0
-0.7749999999999999,-1.5,2.760625,0,0
-0.75,-1.5,2.7225,0,0
-0.725,-1.5,2.685625,0,0
-0.7,-1.5,2.65,0,0
-0.6749999999999999,-1.5,2.615625,0,0
-0.6499999999999999,-1.5,2.5825,0,0
-0.625,-1.5,2.550625,0,0
-0.6,-1.5,2.52,0,0
-0.575,-1.5,2.490625,0,0
-0.5499999999999999,-1.5,2.4625,0,0
-0.5249999999999999,-1.5,2.435625,0,0
-0.5,-1.5,2.41,0,0
-0.47499999999999987,-1.5,2.385625,0,0
-0.44999999999999996,-1.5,2.3625000000000003,0,0
-0.42500000000000004,-1.5,2.340625,0,0
-0.3999999999999999,-1.5,2.3200000000000003,0,0
-0.375,-1.5,2.300625,0,0
-0.34999999999999987,-1.5,2.2825,0,0
-0.32499999999999996,-1.5,2.265625,0,0
-0.2999999999999998,-1.5,2.25,0,0
-0.2749999999999999,-1.5,2.235625,0,0
-0.25,-1.5,2.2225,0,0
-0.22499999999999987,-1.5,2.2106250000000003,0,0
-0.19999999999999996,-1.5,2.2,0,0
-0.17499999999999982,-1.5,2.1906250000000003,0,0
-0.1499999999999999,-1.5,2.1825,0,0
-0.125,-1.5,2.175625,0,0
-0.09999999999999987,-1.5,2.17,0,0
-0.07499999999999996,-1.5,2.1656250000000004,0,0
-0.04999999999999982,-1.5,2.1625,0,0
-0.02499999999999991,-1.5,2.160625,0,0
0.0,-1.5,2.16,0,0
0.025000000000000133,-1.5,2.160625,0,0
0.050000000000000044,-1.5,2.1625,0,0
0.07500000000000018,-1.5,2.1656250000000004,0,0
0.10000000000000009,-1.5,2.1700000000000004,0,0
0.125,-1.5,2.175625,0,0
0.15000000000000013,-1.5,2.1825,0,0
0.17500000000000004,-1.5,2.1906250000000003,0,0
0.20000000000000018,-1.5,2.2,0,0
0.2250000000000001,-1.5,2.2106250000000003,0,0
0.25,-1.5,2.2225,0,0
0.27500000000000013,-1.5,2.235625,0,0
0.30000000000000004,-1.5,2.25,0,0
0.3250000000000002,-1.5,2.2656250000000004,0,0
0.3500000000000001,-1.5,2.2825,0,0
0.375,-1.5,2.300625,0,0
0.40000000000000013,-1.5,2.3200000000000003,0,0
0.42500000000000004,-1.5,2.340625,0,0
0.4500000000000002,-1.5,2.3625000000000003,0,0
0.4750000000000001,-1.5,2.385625,0,0
0.5,-1.5,2.41,0,0
0.5249999999999999,-1.5,2.435625,0,0
0.5500000000000003,-1.5,2.4625000000000004,0,0
0.5750000000000002,-1.5,2.4906250000000005,0,0
0.6000000000000001,-1.5,2.5200000000000005,0,0
0.625,-1.5,2.550625,0,0
0.6499999999999999,-1.5,2.5825,0,0
0.6750000000000003,-1.5,2.6156250000000005,0,0
0.7000000000000002,-1.5,2.6500000000000004,0,0
0.7250000000000001,-1.5,2.6856250000000004,0,0
0.75,-1.5,2.7225,0,0
0.7749999999999999,-1.5,2.760625,0,0
0.8000000000000003,-1.5,2.8000000000000007,0,0
0.8250000000000002,-1.5,2.840625,0,0
0.8500000000000001,-1.5,2.8825000000000003,0,0
0.875,-1.5,2.925625,0,0
0.9000000000000004,-1.5,2.9700000000000006,0,0
0.9250000000000003,-1.5,3.015625000000001,0,0
0.9500000000000002,-1.5,3.0625000000000004,0,0
0.9750000000000001,-1.5,3.110625,0,0
1.0,-1.5,3.16,0,0
1.0250000000000004,-1.5,3.210625000000001,0,0
1.0500000000000003,-1.5,3.2625000000000006,0,0
1.0750000000000002,-1.5,3.3156250000000007,0,0
1.1,-1.5,3.37,0,0
1.125,-1.5,3.425625,0,0
1.1500000000000004,-1.5,3.482500000000001,0,0
1.1750000000000003,-1.5,3.540625000000001,0,0
1.2000000000000002,-1.5,3.6000000000000005,0,0
1.225,-1.5,3.6606250000000005,0,0
1.25,-1.5,3.7225,0,0
1.2750000000000004,-1.5,3.7856250000000014,0,0
1.3000000000000003,-1.5,3.8500000000000005,0,0
1.3250000000000002,-1.5,3.9156250000000004,0,0
1.35,-1.5,3.9825,0,0
1.375,-1.5,4.050625,0,0
1.4000000000000004,-1.5,4.120000000000001,0,0
1.4250000000000003,-1.5,4.190625000000001,0,0
1.4500000000000002,-1.5,4.262500000000001,0,0
1.475,-1.5,4.335625,0,0
1.5,-1.5,4.41,0,0
-1.5,-1.475,4.335625,0,0
-1.475,-1.475,4.26125,0,0
-1.45,-1.475,4.188125,0,0
-1.425,-1.475,4.116250000000001,0,0
-1.4,-1.475,4.045625,0,0
-1.375,-1.475,3.9762500000000003,0,0
-1.35,-1.475,3.9081250000000005,0,0
-1.325,-1.475,3.8412500000000005,0,0
-1.3,-1.475,3.7756250000000007,0,0
-1.275,-1.475,3.71125,0,0
-1.25,-1.475,3.6481250000000003,0,0
-1.225,-1.475,3.5862500000000006,0,0
-1.2,-1.475,3.5256250000000002,0,0
-1.175,-1.475,3.4662500000000005,0,0
-1.15,-1.475,3.408125,0,0
-1.125,-1.475,3.3512500000000003,0,0
-1.1,-1.475,3.2956250000000002,0,0
-1.075,-1.475,3.24125,0,0
-1.05,-1.475,3.1881250000000003,0,0
-1.025,-1.475,3.1362500000000004,0,0
-1.0,-1.475,3.0856250000000003,0,0
-0.975,-1.475,3.0362500000000003,0,0
-0.95,-1.475,2.988125,0,0
-0.9249999999999999,-1.475,2.94125,0,0
-0.8999999999999999,-1.475,2.895625,0,0
-0.875,-1.475,2.8512500000000003,0,0
-0.85,-1.475,2.8081250000000004,0,0
-0.825,-1.475,2.7662500000000003,0,0
-0.7999999999999999,-1.475,2.725625,0,0
-0.7749999999999999,-1.475,2.6862500000000002,0,0
-0.75,-1.475,2.6481250000000003,0,0
-0.725,-1.475,2.61125,0,0
-0.7,-1.475,2.575625,0,0
-0.6749999999999999,-1.475,2.5412500000000002,0,0
-0.6499999999999999,-1.475,2.508125,0,0
-0.625,-1.475,2.4762500000000003,0,0
-0.6,-1.475,2.445625,0,0
-0.575,-1.475,2.4162500000000002,0,0
-0.5499999999999999,-1.475,2.388125,0,0
-0.5249999999999999,-1.475,2.36125,0,0
-0.5,-1.475,2.3356250000000003,0,0
-0.47499999999999987,-1.475,2.3112500000000002,0,0
-0.44999999999999996,-1.475,2.2881250000000004,0,0
-0.42500000000000004,-1.475,2.2662500000000003,0,0
-0.3999999999999999,-1.475,2.2456250000000004,0,0
-0.375,-1.475,2.2262500000000003,0,0
-0.34999999999999987,-1.475,2.2081250000000003,0,0
-0.32499999999999996,-1.475,2.19125,0,0
-0.2999999999999998,-1.475,2.175625,0,0
-0.2749999999999999,-1.475,2.1612500000000003,0,0
-0.25,-1.475,2.1481250000000003,0,0
-0.22499999999999987,-1.475,2.1362500000000004,0,0
-0.19999999999999996,-1.475,2.1256250000000003,0,0
-0.17499999999999982,-1.475,2.1162500000000004,0,0
-0.1499999999999999,-1.475,2.1081250000000002,0,0
-0.125,-1.475,2.1012500000000003,0,0
-0.09999999999999987,-1.475,2.095625,0,0
-0.07499999999999996,-1.475,2.0912500000000005,0,0
-0.04999999999999982,-1.475,2.0881250000000002,0,0
-0.02499999999999991,-1.475,2.08625,0,0
0.0,-1.475,2.0856250000000003,0,0
0.025000000000000133,-1.475,2.08625,0,0
0.050000000000000044,-1.475,2.0881250000000002,0,0
0.07500000000000018,-1.475,2.0912500000000005,0,0
0.10000000000000009,-1.475,2.0956250000000005,0,0
0.125,-1.475,2.1012500000000003,0,0
0.15000000000000013,-1.475,2.1081250000000002,0,0
0.17500000000000004,-1.475,2.1162500000000004,0,0
0.20000000000000018,-1.475,2.1256250000000003,0,0
0.2250000000000001,-1.475,2.1362500000000004,0,0
0.25,-1.475,2.1481250000000003,0,0
0.27500000000000013,-1.475,2.1612500000000003,0,0
0.30000000000000004,-1.475,2.175625,0,0
0.3250000000000002,-1.475,2.1912500000000006,0,0
0.3500000000000001,-1.475,2.2081250000000003,0,0
0.375,-1.475,2.2262500000000003,0,0
0.40000000000000013,-1.475,2.2456250000000004,0,0
0.42500000000000004,-1.475,2.2662500000000003,0,0
0.4500000000000002,-1.475,2.2881250000000004,0,0
0.4750000000000001,-1.475,2.3112500000000002,0,0
0.5,-1.475,2.3356250000000003,0,0
0.5249999999999999,-1.475,2.36125,0,0
0.5500000000000003,-1.475,2.3881250000000005,0,0
0.5750000000000002,-1.475,2.4162500000000007,0,0
0.6000000000000001,-1.475,2.4456250000000006,0,0
0.625,-1.475,2.4762500000000003,0,0
0.6499999999999999,-1.475,2.508125,0,0
0.6750000000000003,-1.475,2.5412500000000007,0,0
0.7000000000000002,-1.475,2.5756250000000005,0,0
0.7250000000000001,-1.475,2.6112500000000005,0,0
0.75,-1.475,2.6481250000000003,0,0
0.7749999999999999,-1.475,2.6862500000000002,0,0
0.8000000000000003,-1.475,2.725625000000001,0,0
0.8250000000000002,-1.475,2.7662500000000003,0,0
0.8500000000000001,-1.475,2.8081250000000004,0,0
0.875,-1.475,2.8512500000000003,0,0
0.9000000000000004,-1.475,2.895625000000001,0,0
0.9250000000000003,-1.475,2.941250000000001,0,0
0.9500000000000002,-1.475,2.9881250000000006,0,0
0.9750000000000001,-1.475,3.0362500000000003,0,0
1.0,-1.475,3.0856250000000003,0,0
1.0250000000000004,-1.475,3.1362500000000013,0,0
1.0500000000000003,-1.475,3.1881250000000008,0,0
1.0750000000000002,-1.475,3.241250000000001,0,0
1.1,-1.475,3.2956250000000002,0,0
1.125,-1.475,3.3512500000000003,0,0
1.1500000000000004,-1.475,3.408125000000001,0,0
1.1750000000000003,-1.475,3.466250000000001,0,0
1.2000000000000002,-1.475,3.5256250000000007,0,0
1.225,-1.475,3.5862500000000006,0,0
1.25,-1.475,3.6481250000000003,0,0
1.2750000000000004,-1.475,3.7112500000000015,0,0
1.3000000000000003,-1.475,3.7756250000000007,0,0
1.3250000000000002,-1.475,3.8412500000000005,0,0
